configuracao,nuvem,fase,metodo,multiplicador,item_custo,usd_mes_1,usd_36m
C2,aws,1,iso-sla,2.0000,compute,4048.4340,145743.6240
C2,aws,1,iso-sla,2.0000,bloco,1502.2160,71018.7174
C2,aws,1,iso-sla,2.0000,objeto,829.4400,52483.5992
C2,aws,1,iso-sla,2.0000,egress,921.6000,33177.6000
C2,aws,1,iso-sla,2.0000,licencas,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,premio-gerenciado,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,backup,218.5380,7867.3680
C2,aws,1,iso-sla,2.0000,suporte,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,2.0000,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,ia,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,compute,3942.0000,141912.0000
C1,ibm,1,iso-sla,2.0000,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,2.0000,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,2.0000,egress,1108.6817,39912.5422
C1,ibm,1,iso-sla,2.0000,licencas,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,premio-gerenciado,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,backup,160.0297,5761.0696
C1,ibm,1,iso-sla,2.0000,suporte,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,iso-sla,2.0000,observabilidade,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,ia,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,compute,5541.1380,199480.9680
C2,aws,1,iso-sla,2.5000,bloco,1502.2160,71018.7174
C2,aws,1,iso-sla,2.5000,objeto,829.4400,52483.5992
C2,aws,1,iso-sla,2.5000,egress,921.6000,33177.6000
C2,aws,1,iso-sla,2.5000,licencas,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,premio-gerenciado,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,backup,218.5380,7867.3680
C2,aws,1,iso-sla,2.5000,suporte,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,2.5000,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,ia,0.0000,0.0000
C1,ibm,1,iso-sla,2.5000,compute,5403.4600,194524.5600
C1,ibm,1,iso-sla,2.5000,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,2.5000,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,2.5000,egress,1108.6817,39912.5422
